State Name,County Name,NAICS Description,Establishments
Alabama,Autauga,Amusement,13
Alabama,Autauga,Religious,69
Alabama,Baldwin,Amusement,78
Alabama,Baldwin,Religious,249
Alabama,Barbour,Amusement,4
Alabama,Barbour,Religious,26
Alabama,Blount,Amusement,8
Alabama,Blount,Religious,42
Alabama,Butler,Amusement,4
Alabama,Butler,Religious,20
Alabama,Calhoun,Amusement,18
Alabama,Calhoun,Religious,160
Alabama,Cherokee,Amusement,5
Alabama,Cherokee,Religious,27
Alabama,Chilton,Amusement,5
Alabama,Chilton,Religious,72
Alabama,Choctaw,Amusement,3
Alabama,Choctaw,Religious,29
Alabama,Clarke,Amusement,3
Alabama,Clarke,Religious,39
Alabama,Coffee,Amusement,7
Alabama,Coffee,Religious,71
Alabama,Colbert,Amusement,14
Alabama,Colbert,Religious,83
Alabama,Covington,Amusement,8
Alabama,Covington,Religious,45
Alabama,Cullman,Amusement,14
Alabama,Cullman,Religious,90
Alabama,Dale,Amusement,5
Alabama,Dale,Religious,55
Alabama,Dallas,Amusement,3
Alabama,Dallas,Religious,58
Alabama,DeKalb,Amusement,5
Alabama,DeKalb,Religious,67
Alabama,Elmore,Amusement,11
Alabama,Elmore,Religious,92
Alabama,Escambia,Amusement,3
Alabama,Escambia,Religious,59
Alabama,Etowah,Amusement,19
Alabama,Etowah,Religious,148
Alabama,Franklin,Amusement,3
Alabama,Franklin,Religious,27
Alabama,Geneva,Amusement,3
Alabama,Geneva,Religious,24
Alabama,Greene,Amusement,5
Alabama,Greene,Religious,7
Alabama,Houston,Amusement,30
Alabama,Houston,Religious,114
Alabama,Jackson,Amusement,6
Alabama,Jackson,Religious,50
Alabama,Jefferson,Amusement,153
Alabama,Jefferson,Religious,937
Alabama,Lamar,Amusement,3
Alabama,Lamar,Religious,14
Alabama,Lauderdale,Amusement,18
Alabama,Lauderdale,Religious,129
Alabama,Lee,Amusement,28
Alabama,Lee,Religious,141
Alabama,Limestone,Amusement,12
Alabama,Limestone,Religious,86
Alabama,Lowndes,Amusement,3
Alabama,Lowndes,Religious,6
Alabama,Madison,Amusement,99
Alabama,Madison,Religious,374
Alabama,Marengo,Amusement,3
Alabama,Marengo,Religious,30
Alabama,Marshall,Amusement,16
Alabama,Marshall,Religious,87
Alabama,Mobile,Amusement,77
Alabama,Mobile,Religious,445
Alabama,Montgomery,Amusement,38
Alabama,Montgomery,Religious,349
Alabama,Morgan,Amusement,21
Alabama,Morgan,Religious,140
Alabama,Pickens,Amusement,4
Alabama,Pickens,Religious,21
Alabama,Pike,Amusement,4
Alabama,Pike,Religious,36
Alabama,Russell,Amusement,3
Alabama,Russell,Religious,60
Alabama,Shelby,Amusement,52
Alabama,Shelby,Religious,212
Alabama,St. Clair,Amusement,13
Alabama,St. Clair,Religious,75
Alabama,Sumter,Amusement,3
Alabama,Sumter,Religious,14
Alabama,Talladega,Amusement,8
Alabama,Talladega,Religious,97
Alabama,Tallapoosa,Amusement,10
Alabama,Tallapoosa,Religious,60
Alabama,Tuscaloosa,Amusement,35
Alabama,Tuscaloosa,Religious,216
Alabama,Walker,Amusement,9
Alabama,Walker,Religious,93
Alabama,Winston,Amusement,5
Alabama,Winston,Religious,23
Alaska,Anchorage Municipality,Amusement,120
Alaska,Anchorage Municipality,Religious,391
Alaska,Bethel Census Area,Amusement,7
Alaska,Bethel Census Area,Religious,7
Alaska,Dillingham Census Area,Amusement,4
Alaska,Dillingham Census Area,Religious,3
Alaska,Fairbanks North Star Borough,Amusement,50
Alaska,Fairbanks North Star Borough,Religious,100
Alaska,Haines Borough,Amusement,11
Alaska,Haines Borough,Religious,7
Alaska,Juneau City and Borough,Amusement,22
Alaska,Juneau City and Borough,Religious,56
Alaska,Kenai Peninsula Borough,Amusement,64
Alaska,Kenai Peninsula Borough,Religious,100
Alaska,Ketchikan Gateway Borough,Amusement,17
Alaska,Ketchikan Gateway Borough,Religious,24
Alaska,Kodiak Island Borough,Amusement,17
Alaska,Kodiak Island Borough,Religious,22
Alaska,Lake and Peninsula Borough,Amusement,4
Alaska,Lake and Peninsula Borough,Religious,3
Alaska,Matanuska-Susitna Borough,Amusement,54
Alaska,Matanuska-Susitna Borough,Religious,100
Alaska,Nome Census Area,Amusement,5
Alaska,Nome Census Area,Religious,11
Alaska,Sitka City and Borough,Amusement,11
Alaska,Sitka City and Borough,Religious,15
Alaska,Skagway Municipality,Amusement,3
Alaska,Skagway Municipality,Religious,3
Alaska,Southeast Fairbanks Census Area,Amusement,3
Alaska,Southeast Fairbanks Census Area,Religious,7
Alaska,Valdez-Cordova Census Area,Amusement,25
Alaska,Valdez-Cordova Census Area,Religious,20
Arizona,Apache,Amusement,3
Arizona,Apache,Religious,25
Arizona,Cochise,Amusement,14
Arizona,Cochise,Religious,115
Arizona,Coconino,Amusement,71
Arizona,Coconino,Religious,152
Arizona,Gila,Amusement,17
Arizona,Gila,Religious,50
Arizona,Graham,Amusement,9
Arizona,Graham,Religious,17
Arizona,Maricopa,Amusement,976
Arizona,Maricopa,Religious,"2,183"
Arizona,Mohave,Amusement,36
Arizona,Mohave,Religious,117
Arizona,Navajo,Amusement,16
Arizona,Navajo,Religious,81
Arizona,Pima,Amusement,217
Arizona,Pima,Religious,667
Arizona,Pinal,Amusement,42
Arizona,Pinal,Religious,146
Arizona,Yavapai,Amusement,54
Arizona,Yavapai,Religious,194
Arizona,Yuma,Amusement,24
Arizona,Yuma,Religious,90
Arkansas,Arkansas,Amusement,9
Arkansas,Arkansas,Religious,30
Arkansas,Ashley,Amusement,3
Arkansas,Ashley,Religious,29
Arkansas,Baxter,Amusement,22
Arkansas,Baxter,Religious,43
Arkansas,Benton,Amusement,72
Arkansas,Benton,Religious,235
Arkansas,Boone,Amusement,8
Arkansas,Boone,Religious,50
Arkansas,Carroll,Amusement,7
Arkansas,Carroll,Religious,46
Arkansas,Clark,Amusement,3
Arkansas,Clark,Religious,46
Arkansas,Cleburne,Amusement,9
Arkansas,Cleburne,Religious,39
Arkansas,Conway,Amusement,3
Arkansas,Conway,Religious,27
Arkansas,Craighead,Amusement,19
Arkansas,Craighead,Religious,97
Arkansas,Crawford,Amusement,4
Arkansas,Crawford,Religious,46
Arkansas,Crittenden,Amusement,11
Arkansas,Crittenden,Religious,44
Arkansas,Cross,Amusement,4
Arkansas,Cross,Religious,27
Arkansas,Desha,Amusement,6
Arkansas,Desha,Religious,20
Arkansas,Faulkner,Amusement,25
Arkansas,Faulkner,Religious,114
Arkansas,Garland,Amusement,29
Arkansas,Garland,Religious,124
Arkansas,Greene,Amusement,10
Arkansas,Greene,Religious,44
Arkansas,Hempstead,Amusement,3
Arkansas,Hempstead,Religious,24
Arkansas,Hot Spring,Amusement,4
Arkansas,Hot Spring,Religious,41
Arkansas,Howard,Amusement,5
Arkansas,Howard,Religious,15
Arkansas,Independence,Amusement,4
Arkansas,Independence,Religious,50
Arkansas,Izard,Amusement,3
Arkansas,Izard,Religious,17
Arkansas,Jackson,Amusement,3
Arkansas,Jackson,Religious,22
Arkansas,Jefferson,Amusement,4
Arkansas,Jefferson,Religious,94
Arkansas,Lee,Amusement,3
Arkansas,Lee,Religious,9
Arkansas,Logan,Amusement,3
Arkansas,Logan,Religious,31
Arkansas,Lonoke,Amusement,8
Arkansas,Lonoke,Religious,57
Arkansas,Marion,Amusement,5
Arkansas,Marion,Religious,16
Arkansas,Miller,Amusement,8
Arkansas,Miller,Religious,48
Arkansas,Mississippi,Amusement,9
Arkansas,Mississippi,Religious,45
Arkansas,Ouachita,Amusement,3
Arkansas,Ouachita,Religious,38
Arkansas,Phillips,Amusement,5
Arkansas,Phillips,Religious,23
Arkansas,Polk,Amusement,5
Arkansas,Polk,Religious,35
Arkansas,Pope,Amusement,16
Arkansas,Pope,Religious,76
Arkansas,Pulaski,Amusement,97
Arkansas,Pulaski,Religious,667
Arkansas,Saline,Amusement,23
Arkansas,Saline,Religious,88
Arkansas,Sebastian,Amusement,28
Arkansas,Sebastian,Religious,116
Arkansas,St. Francis,Amusement,6
Arkansas,St. Francis,Religious,27
Arkansas,Union,Amusement,7
Arkansas,Union,Religious,85
Arkansas,Van Buren,Amusement,3
Arkansas,Van Buren,Religious,27
Arkansas,Washington,Amusement,56
Arkansas,Washington,Religious,209
Arkansas,White,Amusement,12
Arkansas,White,Religious,80
California,Alameda,Amusement,369
California,Alameda,Religious,"1,315"
California,Amador,Amusement,5
California,Amador,Religious,38
California,Butte,Amusement,56
California,Butte,Religious,166
California,Calaveras,Amusement,15
California,Calaveras,Religious,49
California,Colusa,Amusement,5
California,Colusa,Religious,15
California,Contra Costa,Amusement,299
California,Contra Costa,Religious,616
California,Del Norte,Amusement,5
California,Del Norte,Religious,16
California,El Dorado,Amusement,76
California,El Dorado,Religious,125
California,Fresno,Amusement,139
California,Fresno,Religious,522
California,Glenn,Amusement,6
California,Glenn,Religious,28
California,Humboldt,Amusement,31
California,Humboldt,Religious,139
California,Imperial,Amusement,20
California,Imperial,Religious,88
California,Inyo,Amusement,11
California,Inyo,Religious,21
California,Kern,Amusement,106
California,Kern,Religious,390
California,Kings,Amusement,15
California,Kings,Religious,53
California,Lake,Amusement,11
California,Lake,Religious,45
California,Lassen,Amusement,4
California,Lassen,Religious,20
California,Los Angeles,Amusement,"1,883"
California,Los Angeles,Religious,"6,240"
California,Madera,Amusement,18
California,Madera,Religious,64
California,Marin,Amusement,137
California,Marin,Religious,280
California,Mendocino,Amusement,21
California,Mendocino,Religious,92
California,Merced,Amusement,35
California,Merced,Religious,92
California,Mono,Amusement,10
California,Mono,Religious,45
California,Monterey,Amusement,89
California,Monterey,Religious,264
California,Napa,Amusement,50
California,Napa,Religious,110
California,Nevada,Amusement,53
California,Nevada,Religious,121
California,Orange,Amusement,848
California,Orange,Religious,"1,862"
California,Placer,Amusement,136
California,Placer,Religious,289
California,Plumas,Amusement,9
California,Plumas,Religious,29
California,Riverside,Amusement,422
California,Riverside,Religious,927
California,Sacramento,Amusement,285
California,Sacramento,Religious,"1,140"
California,San Benito,Amusement,12
California,San Benito,Religious,24
California,San Bernardino,Amusement,308
California,San Bernardino,Religious,884
California,San Diego,Amusement,879
California,San Diego,Religious,"2,111"
California,San Francisco,Amusement,244
California,San Francisco,Religious,"1,152"
California,San Joaquin,Amusement,113
California,San Joaquin,Religious,334
California,San Luis Obispo,Amusement,86
California,San Luis Obispo,Religious,252
California,San Mateo,Amusement,221
California,San Mateo,Religious,458
California,Santa Barbara,Amusement,116
California,Santa Barbara,Religious,442
California,Santa Clara,Amusement,481
California,Santa Clara,Religious,"1,080"
California,Santa Cruz,Amusement,80
California,Santa Cruz,Religious,237
California,Shasta,Amusement,49
California,Shasta,Religious,147
California,Siskiyou,Amusement,14
California,Siskiyou,Religious,68
California,Solano,Amusement,76
California,Solano,Religious,219
California,Sonoma,Amusement,142
California,Sonoma,Religious,378
California,Stanislaus,Amusement,84
California,Stanislaus,Religious,270
California,Sutter,Amusement,32
California,Sutter,Religious,51
California,Tehama,Amusement,6
California,Tehama,Religious,42
California,Trinity,Amusement,5
California,Trinity,Religious,9
California,Tulare,Amusement,47
California,Tulare,Religious,206
California,Tuolumne,Amusement,23
California,Tuolumne,Religious,47
California,Ventura,Amusement,217
California,Ventura,Religious,530
California,Yolo,Amusement,53
California,Yolo,Religious,135
California,Yuba,Amusement,7
California,Yuba,Religious,34
Colorado,Adams,Amusement,67
Colorado,Adams,Religious,218
Colorado,Alamosa,Amusement,5
Colorado,Alamosa,Religious,22
Colorado,Arapahoe,Amusement,179
Colorado,Arapahoe,Religious,512
Colorado,Archuleta,Amusement,13
Colorado,Archuleta,Religious,22
Colorado,Boulder,Amusement,146
Colorado,Boulder,Religious,372
Colorado,Broomfield,Amusement,29
Colorado,Broomfield,Religious,50
Colorado,Chaffee,Amusement,34
Colorado,Chaffee,Religious,39
Colorado,Clear Creek,Amusement,11
Colorado,Clear Creek,Religious,6
Colorado,Delta,Amusement,11
Colorado,Delta,Religious,48
Colorado,Denver,Amusement,241
Colorado,Denver,Religious,907
Colorado,Douglas,Amusement,113
Colorado,Douglas,Religious,196
Colorado,Eagle,Amusement,45
Colorado,Eagle,Religious,101
Colorado,El Paso,Amusement,167
Colorado,El Paso,Religious,677
Colorado,Elbert,Amusement,5
Colorado,Elbert,Religious,22
Colorado,Fremont,Amusement,17
Colorado,Fremont,Religious,51
Colorado,Garfield,Amusement,39
Colorado,Garfield,Religious,76
Colorado,Gilpin,Amusement,14
Colorado,Gilpin,Religious,3
Colorado,Grand,Amusement,26
Colorado,Grand,Religious,25
Colorado,Gunnison,Amusement,27
Colorado,Gunnison,Religious,48
Colorado,Huerfano,Amusement,4
Colorado,Huerfano,Religious,8
Colorado,Jackson,Amusement,4
Colorado,Jackson,Religious,3
Colorado,Jefferson,Amusement,202
Colorado,Jefferson,Religious,434
Colorado,La Plata,Amusement,38
Colorado,La Plata,Religious,86
Colorado,Lake,Amusement,10
Colorado,Lake,Religious,12
Colorado,Larimer,Amusement,140
Colorado,Larimer,Religious,323
Colorado,Las Animas,Amusement,5
Colorado,Las Animas,Religious,16
Colorado,Logan,Amusement,4
Colorado,Logan,Religious,27
Colorado,Mesa,Amusement,52
