State Name,County Name,NAICS Description,Establishments
Alabama,Autauga,Total,924
Alabama,Baldwin,Total,5992
Alabama,Barbour,Total,423
Alabama,Bibb,Total,298
Alabama,Blount,Total,726
Alabama,Bullock,Total,114
Alabama,Butler,Total,430
Alabama,Calhoun,Total,2222
Alabama,Chambers,Total,599
Alabama,Cherokee,Total,369
Alabama,Chilton,Total,775
Alabama,Choctaw,Total,244
Alabama,Clarke,Total,594
Alabama,Clay,Total,190
Alabama,Cleburne,Total,178
Alabama,Coffee,Total,991
Alabama,Colbert,Total,1244
Alabama,Conecuh,Total,206
Alabama,Coosa,Total,95
Alabama,Covington,Total,832
Alabama,Crenshaw,Total,229
Alabama,Cullman,Total,1786
Alabama,Dale,Total,715
Alabama,Dallas,Total,675
Alabama,DeKalb,Total,1154
Alabama,Elmore,Total,1255
Alabama,Escambia,Total,755
Alabama,Etowah,Total,1925
Alabama,Fayette,Total,265
Alabama,Franklin,Total,529
Alabama,Geneva,Total,429
Alabama,Greene,Total,95
Alabama,Hale,Total,188
Alabama,Henry,Total,299
Alabama,Houston,Total,2776
Alabama,Jackson,Total,837
Alabama,Jefferson,Total,16851
Alabama,Lamar,Total,242
Alabama,Lauderdale,Total,1959
Alabama,Lawrence,Total,403
Alabama,Lee,Total,3124
Alabama,Limestone,Total,1535
Alabama,Lowndes,Total,112
Alabama,Macon,Total,200
Alabama,Madison,Total,8881
Alabama,Marengo,Total,440
Alabama,Marion,Total,548
Alabama,Marshall,Total,1880
Alabama,Mobile,Total,9283
Alabama,Monroe,Total,397
Alabama,Montgomery,Total,5523
Alabama,Morgan,Total,2637
Alabama,Perry,Total,106
Alabama,Pickens,Total,246
Alabama,Pike,Total,647
Alabama,Randolph,Total,348
Alabama,Russell,Total,831
Alabama,St. Clair,Total,1416
Alabama,Shelby,Total,5447
Alabama,Sumter,Total,193
Alabama,Talladega,Total,1244
Alabama,Tallapoosa,Total,789
Alabama,Tuscaloosa,Total,4166
Alabama,Walker,Total,1247
Alabama,Washington,Total,209
Alabama,Wilcox,Total,180
Alabama,Winston,Total,411
Alabama,Statewide Alabama,Total,661
Alaska,Aleutians East Borough,Total,58
Alaska,Aleutians West Census Area,Total,115
Alaska,Anchorage Municipality,Total,8769
Alaska,Bethel Census Area,Total,213
Alaska,Bristol Bay Borough,Total,105
Alaska,Denali Borough,Total,105
Alaska,Dillingham Census Area,Total,108
Alaska,Fairbanks North Star Borough,Total,2542
Alaska,Haines Borough,Total,135
Alaska,Hoonah-Angoon Census Area,Total,83
Alaska,Juneau City and Borough,Total,1109
Alaska,Kenai Peninsula Borough,Total,2287
Alaska,Ketchikan Gateway Borough,Total,576
Alaska,Kodiak Island Borough,Total,457
Alaska,Kusilvak Census Area,Total,69
Alaska,Lake and Peninsula Borough,Total,53
Alaska,Matanuska-Susitna Borough,Total,2609
Alaska,Nome Census Area,Total,174
Alaska,North Slope Borough,Total,146
Alaska,Northwest Arctic Borough,Total,68
Alaska,Petersburg Borough,Total,163
Alaska,Prince of Wales-Hyder Census Area,Total,172
Alaska,Sitka City and Borough,Total,385
Alaska,Skagway Municipality,Total,98
Alaska,Southeast Fairbanks Census Area,Total,165
Alaska,Valdez-Cordova Census Area,Total,491
Alaska,Wrangell City and Borough,Total,98
Alaska,Yakutat City and Borough,Total,30
Alaska,Yukon-Koyukuk Census Area,Total,95
Alaska,Statewide Alaska,Total,163
Arizona,Apache,Total,445
Arizona,Cochise,Total,2112
Arizona,Coconino,Total,3836
Arizona,Gila,Total,1039
Arizona,Graham,Total,542
Arizona,Greenlee,Total,84
Arizona,La Paz,Total,329
Arizona,Maricopa,Total,104022
Arizona,Mohave,Total,4108
Arizona,Navajo,Total,1791
Arizona,Pima,Total,20694
Arizona,Pinal,Total,4232
Arizona,Santa Cruz,Total,1089
Arizona,Yavapai,Total,6292
Arizona,Yuma,Total,3244
Arizona,Statewide Arizona,Total,900
Arkansas,Arkansas,Total,494
Arkansas,Ashley,Total,344
Arkansas,Baxter,Total,1088
Arkansas,Benton,Total,7298
Arkansas,Boone,Total,857
Arkansas,Bradley,Total,246
Arkansas,Calhoun,Total,56
Arkansas,Carroll,Total,709
Arkansas,Chicot,Total,191
Arkansas,Clark,Total,531
Arkansas,Clay,Total,281
Arkansas,Cleburne,Total,596
Arkansas,Cleveland,Total,74
Arkansas,Columbia,Total,533
Arkansas,Conway,Total,406
Arkansas,Craighead,Total,2651
Arkansas,Crawford,Total,1056
Arkansas,Crittenden,Total,834
Arkansas,Cross,Total,365
Arkansas,Dallas,Total,171
Arkansas,Desha,Total,284
Arkansas,Drew,Total,412
Arkansas,Faulkner,Total,2855
Arkansas,Franklin,Total,298
Arkansas,Fulton,Total,165
Arkansas,Garland,Total,2858
Arkansas,Grant,Total,291
Arkansas,Greene,Total,794
Arkansas,Hempstead,Total,375
Arkansas,Hot Spring,Total,504
Arkansas,Howard,Total,264
Arkansas,Independence,Total,797
Arkansas,Izard,Total,212
Arkansas,Jackson,Total,307
Arkansas,Jefferson,Total,1229
Arkansas,Johnson,Total,381
Arkansas,Lafayette,Total,104
Arkansas,Lawrence,Total,279
Arkansas,Lee,Total,112
Arkansas,Lincoln,Total,153
Arkansas,Little River,Total,168
Arkansas,Logan,Total,360
Arkansas,Lonoke,Total,1109
Arkansas,Madison,Total,227
Arkansas,Marion,Total,239
Arkansas,Miller,Total,719
Arkansas,Mississippi,Total,752
Arkansas,Monroe,Total,183
Arkansas,Montgomery,Total,133
Arkansas,Nevada,Total,120
Arkansas,Newton,Total,87
Arkansas,Ouachita,Total,479
Arkansas,Perry,Total,121
Arkansas,Phillips,Total,339
Arkansas,Pike,Total,219
Arkansas,Poinsett,Total,327
Arkansas,Polk,Total,418
Arkansas,Pope,Total,1549
Arkansas,Prairie,Total,139
Arkansas,Pulaski,Total,12300
Arkansas,Randolph,Total,318
Arkansas,St. Francis,Total,438
Arkansas,Saline,Total,2204
Arkansas,Scott,Total,137
Arkansas,Searcy,Total,119
Arkansas,Sebastian,Total,3322
Arkansas,Sevier,Total,254
Arkansas,Sharp,Total,312
Arkansas,Stone,Total,241
Arkansas,Union,Total,1036
Arkansas,Van Buren,Total,308
Arkansas,Washington,Total,5919
Arkansas,White,Total,1602
Arkansas,Woodruff,Total,128
Arkansas,Yell,Total,313
Arkansas,Statewide Arkansas,Total,478
California,Alameda,Total,41470
