State Name,County Name,Religious,Amusement/Real Estate
Alabama,Autauga,138.0,98.0
Alabama,Baldwin,498.0,1006.0
Alabama,Barbour,52.0,36.0
Alabama,Bibb,42.0,18.0
Alabama,Blount,84.0,31.0
Alabama,Bullock,19.0,7.0
Alabama,Butler,40.0,44.0
Alabama,Calhoun,319.0,143.0
Alabama,Chambers,128.0,24.0
Alabama,Cherokee,54.0,25.0
Alabama,Chilton,144.0,53.0
Alabama,Choctaw,58.0,9.0
Alabama,Clarke,78.0,26.0
Alabama,Clay,33.0,10.0
Alabama,Cleburne,26.0,3.0
Alabama,Coffee,142.0,90.0
Alabama,Colbert,166.0,83.0
Alabama,Conecuh,18.0,10.0
Alabama,Coosa,20.0,6.0
Alabama,Covington,90.0,59.0
Alabama,Crenshaw,30.0,8.0
Alabama,Cullman,180.0,108.0
Alabama,Dale,109.0,52.0
Alabama,Dallas,116.0,33.0
Alabama,DeKalb,132.0,63.0
Alabama,Elmore,183.0,123.0
Alabama,Escambia,115.0,54.0
Alabama,Etowah,296.0,126.0
Alabama,Fayette,29.0,3.0
Alabama,Franklin,54.0,34.0
Alabama,Geneva,48.0,28.0
Alabama,Greene,14.0,9.0
Alabama,Hale,20.0,3.0
Alabama,Henry,54.0,6.0
Alabama,Houston,227.0,246.0
Alabama,Jackson,100.0,51.0
Alabama,Jefferson,1874.0,1772.0
Alabama,Lamar,28.0,6.0
Alabama,Lauderdale,258.0,217.0
Alabama,Lawrence,70.0,11.0
Alabama,Lee,281.0,399.0
Alabama,Limestone,172.0,135.0
Alabama,Lowndes,12.0,11.0
Alabama,Macon,33.0,15.0
Alabama,Madison,748.0,1182.0
Alabama,Marengo,60.0,13.0
Alabama,Marion,53.0,9.0
Alabama,Marshall,174.0,160.0
Alabama,Mobile,888.0,886.0
Alabama,Monroe,60.0,17.0
Alabama,Montgomery,698.0,503.0
Alabama,Morgan,280.0,171.0
Alabama,Perry,19.0,5.0
Alabama,Pickens,42.0,8.0
Alabama,Pike,72.0,54.0
Alabama,Randolph,44.0,18.0
Alabama,Russell,118.0,79.0
Alabama,Shelby,424.0,609.0
Alabama,St. Clair,150.0,100.0
Alabama,Statewide Alabama,16.0,0.0
Alabama,Sumter,28.0,6.0
Alabama,Talladega,194.0,85.0
Alabama,Tallapoosa,120.0,67.0
Alabama,Tuscaloosa,431.0,440.0
Alabama,Walker,186.0,84.0
Alabama,Washington,54.0,0.0
Alabama,Wilcox,22.0,7.0
Alabama,Winston,45.0,23.0
Alaska,Aleutians East Borough,3.0,6.0
Alaska,Aleutians West Census Area,10.0,0.0
Alaska,Anchorage Municipality,782.0,1023.0
Alaska,Bethel Census Area,13.0,25.0
Alaska,Bristol Bay Borough,0.0,12.0
Alaska,Denali Borough,0.0,22.0
Alaska,Dillingham Census Area,6.0,8.0
Alaska,Fairbanks North Star Borough,194.0,391.0
Alaska,Haines Borough,14.0,30.0
Alaska,Hoonah-Angoon Census Area,0.0,9.0
Alaska,Juneau City and Borough,110.0,131.0
Alaska,Kenai Peninsula Borough,197.0,277.0
Alaska,Ketchikan Gateway Borough,45.0,88.0
Alaska,Kodiak Island Borough,42.0,49.0
Alaska,Kusilvak Census Area,8.0,0.0
Alaska,Lake and Peninsula Borough,6.0,14.0
Alaska,Matanuska-Susitna Borough,197.0,302.0
Alaska,Nome Census Area,19.0,22.0
Alaska,North Slope Borough,13.0,3.0
Alaska,Northwest Arctic Borough,12.0,0.0
Alaska,Petersburg Borough,20.0,8.0
Alaska,Prince of Wales-Hyder Census Area,13.0,0.0
Alaska,Sitka City and Borough,30.0,51.0
Alaska,Skagway Municipality,6.0,6.0
Alaska,Southeast Fairbanks Census Area,14.0,14.0
Alaska,Statewide Alaska,8.0,0.0
Alaska,Valdez-Cordova Census Area,39.0,66.0
Alaska,Wrangell City and Borough,0.0,16.0
Alaska,Yakutat City and Borough,0.0,0.0
Alaska,Yukon-Koyukuk Census Area,8.0,0.0
Arizona,Apache,48.0,27.0
Arizona,Cochise,226.0,239.0
Arizona,Coconino,304.0,610.0
Arizona,Gila,100.0,172.0
Arizona,Graham,34.0,44.0
Arizona,Greenlee,10.0,6.0
Arizona,La Paz,28.0,38.0
Arizona,Maricopa,332.0,2385.0
Arizona,Mohave,233.0,532.0
Arizona,Navajo,161.0,208.0
Arizona,Pima,1334.0,711.0
Arizona,Pinal,290.0,630.0
Arizona,Santa Cruz,57.0,77.0
Arizona,Statewide Arizona,17.0,0.0
Arizona,Yavapai,388.0,1079.0
Arizona,Yuma,178.0,367.0
Arkansas,Arkansas,60.0,43.0
Arkansas,Ashley,57.0,14.0
Arkansas,Baxter,85.0,120.0
Arkansas,Benton,465.0,921.0
Arkansas,Boone,100.0,76.0
Arkansas,Bradley,36.0,10.0
Arkansas,Calhoun,14.0,0.0
Arkansas,Carroll,91.0,54.0
Arkansas,Chicot,22.0,18.0
Arkansas,Clark,90.0,65.0
Arkansas,Clay,50.0,14.0
Arkansas,Cleburne,77.0,62.0
Arkansas,Cleveland,14.0,0.0
Arkansas,Columbia,69.0,29.0
Arkansas,Conway,53.0,21.0
Arkansas,Craighead,192.0,272.0
Arkansas,Crawford,92.0,76.0
Arkansas,Crittenden,88.0,99.0
Arkansas,Cross,52.0,39.0
Arkansas,Dallas,28.0,0.0
Arkansas,Desha,40.0,29.0
Arkansas,Drew,38.0,31.0
Arkansas,Faulkner,228.0,305.0
Arkansas,Franklin,49.0,11.0
Arkansas,Fulton,22.0,8.0
Arkansas,Garland,247.0,344.0
Arkansas,Grant,47.0,7.0
Arkansas,Greene,87.0,75.0
Arkansas,Hempstead,47.0,31.0
Arkansas,Hot Spring,82.0,33.0
Arkansas,Howard,30.0,18.0
Arkansas,Independence,100.0,41.0
Arkansas,Izard,34.0,17.0
Arkansas,Jackson,44.0,30.0
Arkansas,Jefferson,186.0,90.0
Arkansas,Johnson,43.0,26.0
Arkansas,Lafayette,10.0,0.0
Arkansas,Lawrence,30.0,10.0
Arkansas,Lee,18.0,10.0
Arkansas,Lincoln,14.0,11.0
Arkansas,Little River,38.0,0.0
Arkansas,Logan,60.0,29.0
Arkansas,Lonoke,114.0,134.0
Arkansas,Madison,19.0,16.0
Arkansas,Marion,32.0,33.0
Arkansas,Miller,96.0,77.0
Arkansas,Mississippi,90.0,63.0
Arkansas,Monroe,18.0,8.0
Arkansas,Montgomery,12.0,12.0
Arkansas,Nevada,22.0,8.0
Arkansas,Newton,12.0,0.0
Arkansas,Ouachita,76.0,39.0
Arkansas,Perry,23.0,7.0
Arkansas,Phillips,45.0,32.0
Arkansas,Pike,18.0,13.0
Arkansas,Poinsett,50.0,15.0
Arkansas,Polk,69.0,35.0
Arkansas,Pope,151.0,161.0
Arkansas,Prairie,24.0,11.0
Arkansas,Pulaski,1334.0,1394.0
Arkansas,Randolph,26.0,23.0
Arkansas,Saline,175.0,264.0
Arkansas,Scott,24.0,8.0
Arkansas,Searcy,10.0,7.0
