State,State Name,County,County Name,NAICS,NAICS Description,Enterprise Size,Firms,Establishments,Employment,Employment Noise Flag,"Annual Payroll
($1,000)",Annual Payroll Noise Flag
1,Alabama,1,Autauga,713,"Amusement, Gambling, and Recreation Industries",1: Total,9,13,319,H,"4,854",H
1,Alabama,1,Autauga,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,69,69,601,G,"13,039",G
1,Alabama,3,Baldwin,713,"Amusement, Gambling, and Recreation Industries",1: Total,75,78,"1,349",G,"31,519",G
1,Alabama,3,Baldwin,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,249,249,"1,967",G,"51,130",G
1,Alabama,5,Barbour,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,28,H,547,G
1,Alabama,5,Barbour,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,26,26,108,G,"2,306",G
1,Alabama,7,Bibb,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,21,21,47,J,986,G
1,Alabama,9,Blount,713,"Amusement, Gambling, and Recreation Industries",1: Total,8,8,62,J,"1,307",H
1,Alabama,9,Blount,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,42,42,270,G,"4,503",G
1,Alabama,11,Bullock,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,10,10,22,H,315,G
1,Alabama,13,Butler,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,107,J,"1,229",J
1,Alabama,13,Butler,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,20,20,57,G,"1,079",G
1,Alabama,15,Calhoun,713,"Amusement, Gambling, and Recreation Industries",1: Total,18,18,242,G,"5,838",H
1,Alabama,15,Calhoun,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,156,160,899,G,"15,753",G
1,Alabama,17,Chambers,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,64,64,177,H,"2,670",G
1,Alabama,19,Cherokee,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,15,J,388,G
1,Alabama,19,Cherokee,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,27,27,98,G,"1,604",G
1,Alabama,21,Chilton,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,99,G,"1,009",G
1,Alabama,21,Chilton,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,72,72,339,G,"5,281",G
1,Alabama,23,Choctaw,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,6,J,132,J
1,Alabama,23,Choctaw,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,29,29,64,H,"1,129",G
1,Alabama,25,Clarke,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,7,G,124,G
1,Alabama,25,Clarke,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,39,39,177,G,"2,595",G
1,Alabama,27,Clay,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,17,17,79,G,"1,111",G
1,Alabama,29,Cleburne,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,13,13,54,H,794,G
1,Alabama,31,Coffee,713,"Amusement, Gambling, and Recreation Industries",1: Total,7,7,114,H,"1,701",H
1,Alabama,31,Coffee,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,71,71,380,G,"7,184",G
1,Alabama,33,Colbert,713,"Amusement, Gambling, and Recreation Industries",1: Total,14,14,143,H,"2,331",H
1,Alabama,33,Colbert,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,83,83,502,G,"14,896",G
1,Alabama,35,Conecuh,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,9,9,12,G,232,G
1,Alabama,37,Coosa,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,10,10,14,G,238,G
1,Alabama,39,Covington,713,"Amusement, Gambling, and Recreation Industries",1: Total,8,8,48,J,822,H
1,Alabama,39,Covington,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,45,45,232,H,"5,833",G
1,Alabama,41,Crenshaw,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,15,15,49,H,890,G
1,Alabama,43,Cullman,713,"Amusement, Gambling, and Recreation Industries",1: Total,14,14,104,G,"3,305",G
1,Alabama,43,Cullman,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,90,90,661,G,"13,797",G
1,Alabama,45,Dale,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,20,J,352,G
1,Alabama,45,Dale,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,55,55,376,H,"8,200",H
1,Alabama,47,Dallas,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,37,J,822,J
1,Alabama,47,Dallas,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,58,58,314,G,"6,026",G
1,Alabama,49,DeKalb,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,34,J,548,G
1,Alabama,49,DeKalb,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,67,67,261,G,"4,872",G
1,Alabama,51,Elmore,713,"Amusement, Gambling, and Recreation Industries",1: Total,11,11,76,G,"1,614",G
1,Alabama,51,Elmore,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,89,92,582,G,"12,388",G
1,Alabama,53,Escambia,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,55,H,"1,051",H
1,Alabama,53,Escambia,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,58,59,225,G,"4,165",G
1,Alabama,55,Etowah,713,"Amusement, Gambling, and Recreation Industries",1: Total,19,19,263,G,"4,205",G
1,Alabama,55,Etowah,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,148,148,814,G,"12,855",G
1,Alabama,57,Fayette,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,15,15,70,J,"1,212",G
1,Alabama,59,Franklin,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,11,J,180,H
1,Alabama,59,Franklin,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,27,27,92,G,"1,908",G
1,Alabama,61,Geneva,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,7,G,73,G
1,Alabama,61,Geneva,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,24,24,55,G,"1,354",G
1,Alabama,63,Greene,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,210,H,"6,366",H
1,Alabama,63,Greene,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,7,7,20,H,448,G
