State Name,County Name,NAICS Description,Establishments
Alabama,Autauga,Real Estate,42
Alabama,Autauga,Religious,69
Alabama,Baldwin,Real Estate,425
Alabama,Baldwin,Religious,249
Alabama,Barbour,Real Estate,14
Alabama,Barbour,Religious,26
Alabama,Bibb,Real Estate,9
Alabama,Bibb,Religious,21
Alabama,Blount,Real Estate,9
Alabama,Blount,Religious,42
Alabama,Bullock,Real Estate,4
Alabama,Bullock,Religious,10
Alabama,Butler,Real Estate,20
Alabama,Butler,Religious,20
Alabama,Calhoun,Real Estate,57
Alabama,Calhoun,Religious,160
Alabama,Chambers,Real Estate,13
Alabama,Chambers,Religious,64
Alabama,Cherokee,Real Estate,9
Alabama,Cherokee,Religious,27
Alabama,Chilton,Real Estate,23
Alabama,Chilton,Religious,72
Alabama,Choctaw,Real Estate,3
Alabama,Choctaw,Religious,29
Alabama,Clarke,Real Estate,13
Alabama,Clarke,Religious,39
Alabama,Clay,Real Estate,6
Alabama,Clay,Religious,17
Alabama,Cleburne,Real Estate,3
Alabama,Cleburne,Religious,13
Alabama,Coffee,Real Estate,39
Alabama,Coffee,Religious,71
Alabama,Colbert,Real Estate,32
Alabama,Colbert,Religious,83
Alabama,Conecuh,Real Estate,6
Alabama,Conecuh,Religious,9
Alabama,Coosa,Real Estate,6
Alabama,Coosa,Religious,10
Alabama,Covington,Real Estate,24
Alabama,Covington,Religious,45
Alabama,Crenshaw,Real Estate,5
Alabama,Crenshaw,Religious,15
Alabama,Cullman,Real Estate,42
Alabama,Cullman,Religious,90
Alabama,Dale,Real Estate,24
Alabama,Dale,Religious,55
Alabama,Dallas,Real Estate,16
Alabama,Dallas,Religious,58
Alabama,DeKalb,Real Estate,28
Alabama,DeKalb,Religious,67
Alabama,Elmore,Real Estate,52
Alabama,Elmore,Religious,92
Alabama,Escambia,Real Estate,26
Alabama,Escambia,Religious,59
Alabama,Etowah,Real Estate,45
Alabama,Etowah,Religious,148
Alabama,Fayette,Real Estate,3
Alabama,Fayette,Religious,15
Alabama,Franklin,Real Estate,19
Alabama,Franklin,Religious,27
Alabama,Geneva,Real Estate,12
Alabama,Geneva,Religious,24
Alabama,Hale,Real Estate,3
Alabama,Hale,Religious,10
Alabama,Henry,Real Estate,3
Alabama,Henry,Religious,27
Alabama,Houston,Real Estate,94
Alabama,Houston,Religious,114
Alabama,Jackson,Real Estate,20
Alabama,Jackson,Religious,50
Alabama,Jefferson,Real Estate,733
Alabama,Jefferson,Religious,937
Alabama,Lauderdale,Real Estate,91
Alabama,Lauderdale,Religious,129
Alabama,Lawrence,Real Estate,7
Alabama,Lawrence,Religious,35
Alabama,Lee,Real Estate,172
Alabama,Lee,Religious,141
Alabama,Limestone,Real Estate,58
Alabama,Limestone,Religious,86
Alabama,Lowndes,Real Estate,8
Alabama,Lowndes,Religious,6
Alabama,Macon,Real Estate,12
Alabama,Macon,Religious,17
Alabama,Madison,Real Estate,494
Alabama,Madison,Religious,374
Alabama,Marengo,Real Estate,4
Alabama,Marengo,Religious,30
Alabama,Marion,Real Estate,6
Alabama,Marion,Religious,27
Alabama,Marshall,Real Estate,66
Alabama,Marshall,Religious,87
Alabama,Mobile,Real Estate,366
Alabama,Mobile,Religious,445
Alabama,Monroe,Real Estate,10
Alabama,Monroe,Religious,30
Alabama,Montgomery,Real Estate,218
Alabama,Montgomery,Religious,349
Alabama,Morgan,Real Estate,68
Alabama,Morgan,Religious,140
Alabama,Perry,Real Estate,5
Alabama,Perry,Religious,10
Alabama,Pike,Real Estate,25
Alabama,Pike,Religious,36
Alabama,Randolph,Real Estate,10
Alabama,Randolph,Religious,23
Alabama,Russell,Real Estate,40
Alabama,Russell,Religious,60
Alabama,Shelby,Real Estate,253
Alabama,Shelby,Religious,212
Alabama,St. Clair,Real Estate,39
Alabama,St. Clair,Religious,75
Alabama,Talladega,Real Estate,36
Alabama,Talladega,Religious,97
Alabama,Tallapoosa,Real Estate,28
Alabama,Tallapoosa,Religious,60
Alabama,Tuscaloosa,Real Estate,186
Alabama,Tuscaloosa,Religious,216
Alabama,Walker,Real Estate,35
Alabama,Walker,Religious,93
Alabama,Wilcox,Real Estate,7
Alabama,Wilcox,Religious,11
Alabama,Winston,Real Estate,9
Alabama,Winston,Religious,23
Alaska,Aleutians East Borough,Real Estate,3
Alaska,Aleutians East Borough,Religious,3
Alaska,Anchorage Municipality,Real Estate,397
Alaska,Anchorage Municipality,Religious,391
Alaska,Bethel Census Area,Real Estate,7
Alaska,Bethel Census Area,Religious,7
Alaska,Fairbanks North Star Borough,Real Estate,151
Alaska,Fairbanks North Star Borough,Religious,100
Alaska,Haines Borough,Real Estate,4
Alaska,Haines Borough,Religious,7
Alaska,Juneau City and Borough,Real Estate,47
Alaska,Juneau City and Borough,Religious,56
Alaska,Kenai Peninsula Borough,Real Estate,79
Alaska,Kenai Peninsula Borough,Religious,100
Alaska,Ketchikan Gateway Borough,Real Estate,27
Alaska,Ketchikan Gateway Borough,Religious,24
Alaska,Kodiak Island Borough,Real Estate,9
Alaska,Kodiak Island Borough,Religious,22
Alaska,Lake and Peninsula Borough,Real Estate,3
Alaska,Lake and Peninsula Borough,Religious,3
Alaska,Matanuska-Susitna Borough,Real Estate,102
Alaska,Matanuska-Susitna Borough,Religious,100
Alaska,Nome Census Area,Real Estate,7
Alaska,Nome Census Area,Religious,11
Alaska,North Slope Borough,Real Estate,3
Alaska,North Slope Borough,Religious,7
Alaska,Petersburg Borough,Real Estate,4
Alaska,Petersburg Borough,Religious,10
Alaska,Sitka City and Borough,Real Estate,15
Alaska,Sitka City and Borough,Religious,15
Alaska,Southeast Fairbanks Census Area,Real Estate,4
Alaska,Southeast Fairbanks Census Area,Religious,7
Alaska,Valdez-Cordova Census Area,Real Estate,8
Alaska,Valdez-Cordova Census Area,Religious,20
Arizona,Apache,Real Estate,11
Arizona,Apache,Religious,25
Arizona,Cochise,Real Estate,107
Arizona,Cochise,Religious,115
Arizona,Coconino,Real Estate,234
Arizona,Coconino,Religious,152
Arizona,Gila,Real Estate,71
Arizona,Gila,Religious,50
Arizona,Graham,Real Estate,14
Arizona,Graham,Religious,17
Arizona,Greenlee,Real Estate,3
Arizona,Greenlee,Religious,5
Arizona,La Paz,Real Estate,20
Arizona,La Paz,Religious,14
Arizona,Maricopa,Real Estate,"8,055"
Arizona,Maricopa,Religious,"2,183"
Arizona,Mohave,Real Estate,231
Arizona,Mohave,Religious,117
Arizona,Navajo,Real Estate,93
Arizona,Navajo,Religious,81
Arizona,Pima,Real Estate,"1,400"
Arizona,Pima,Religious,667
Arizona,Pinal,Real Estate,273
Arizona,Pinal,Religious,146
Arizona,Santa Cruz,Real Estate,40
Arizona,Santa Cruz,Religious,29
Arizona,Yavapai,Real Estate,487
Arizona,Yavapai,Religious,194
Arizona,Yuma,Real Estate,162
Arizona,Yuma,Religious,90
Arkansas,Arkansas,Real Estate,14
Arkansas,Arkansas,Religious,30
Arkansas,Ashley,Real Estate,4
Arkansas,Ashley,Religious,29
Arkansas,Baxter,Real Estate,40
Arkansas,Baxter,Religious,43
Arkansas,Benton,Real Estate,391
Arkansas,Benton,Religious,235
Arkansas,Boone,Real Estate,31
Arkansas,Boone,Religious,50
Arkansas,Bradley,Real Estate,5
Arkansas,Bradley,Religious,18
Arkansas,Carroll,Real Estate,20
Arkansas,Carroll,Religious,46
Arkansas,Chicot,Real Estate,9
Arkansas,Chicot,Religious,11
Arkansas,Clark,Real Estate,30
Arkansas,Clark,Religious,46
Arkansas,Clay,Real Estate,7
Arkansas,Clay,Religious,25
Arkansas,Cleburne,Real Estate,24
Arkansas,Cleburne,Religious,39
