State Name,County Name,NAICS Description,Establishments
Alabama,Autauga,Real Estate,42
Alabama,Autauga,Amusement,13
Alabama,Autauga,Religious,69
Alabama,Baldwin,Real Estate,425
Alabama,Baldwin,Amusement,78
Alabama,Baldwin,Religious,249
Alabama,Barbour,Real Estate,14
Alabama,Barbour,Amusement,4
Alabama,Barbour,Religious,26
Alabama,Blount,Real Estate,9
Alabama,Blount,Amusement,8
Alabama,Blount,Religious,42
Alabama,Butler,Real Estate,20
Alabama,Butler,Amusement,4
Alabama,Butler,Religious,20
Alabama,Calhoun,Real Estate,57
Alabama,Calhoun,Amusement,18
Alabama,Calhoun,Religious,160
Alabama,Cherokee,Real Estate,9
Alabama,Cherokee,Amusement,5
Alabama,Cherokee,Religious,27
Alabama,Chilton,Real Estate,23
Alabama,Chilton,Amusement,5
Alabama,Chilton,Religious,72
Alabama,Choctaw,Real Estate,3
Alabama,Choctaw,Amusement,3
Alabama,Choctaw,Religious,29
Alabama,Clarke,Real Estate,13
Alabama,Clarke,Amusement,3
Alabama,Clarke,Religious,39
Alabama,Coffee,Real Estate,39
Alabama,Coffee,Amusement,7
Alabama,Coffee,Religious,71
Alabama,Colbert,Real Estate,32
Alabama,Colbert,Amusement,14
Alabama,Colbert,Religious,83
Alabama,Covington,Real Estate,24
Alabama,Covington,Amusement,8
Alabama,Covington,Religious,45
Alabama,Cullman,Real Estate,42
Alabama,Cullman,Amusement,14
Alabama,Cullman,Religious,90
Alabama,Dale,Real Estate,24
Alabama,Dale,Amusement,5
Alabama,Dale,Religious,55
Alabama,Dallas,Real Estate,16
Alabama,Dallas,Amusement,3
Alabama,Dallas,Religious,58
Alabama,DeKalb,Real Estate,28
Alabama,DeKalb,Amusement,5
Alabama,DeKalb,Religious,67
Alabama,Elmore,Real Estate,52
Alabama,Elmore,Amusement,11
Alabama,Elmore,Religious,92
Alabama,Escambia,Real Estate,26
Alabama,Escambia,Amusement,3
Alabama,Escambia,Religious,59
Alabama,Etowah,Real Estate,45
Alabama,Etowah,Amusement,19
Alabama,Etowah,Religious,148
Alabama,Franklin,Real Estate,19
Alabama,Franklin,Amusement,3
Alabama,Franklin,Religious,27
Alabama,Geneva,Real Estate,12
Alabama,Geneva,Amusement,3
Alabama,Geneva,Religious,24
Alabama,Houston,Real Estate,94
Alabama,Houston,Amusement,30
Alabama,Houston,Religious,114
Alabama,Jackson,Real Estate,20
Alabama,Jackson,Amusement,6
Alabama,Jackson,Religious,50
Alabama,Jefferson,Real Estate,733
Alabama,Jefferson,Amusement,153
Alabama,Jefferson,Religious,937
Alabama,Lauderdale,Real Estate,91
Alabama,Lauderdale,Amusement,18
Alabama,Lauderdale,Religious,129
Alabama,Lee,Real Estate,172
Alabama,Lee,Amusement,28
Alabama,Lee,Religious,141
Alabama,Limestone,Real Estate,58
Alabama,Limestone,Amusement,12
Alabama,Limestone,Religious,86
Alabama,Lowndes,Real Estate,8
Alabama,Lowndes,Amusement,3
Alabama,Lowndes,Religious,6
Alabama,Madison,Real Estate,494
Alabama,Madison,Amusement,99
Alabama,Madison,Religious,374
Alabama,Marengo,Real Estate,4
Alabama,Marengo,Amusement,3
Alabama,Marengo,Religious,30
Alabama,Marshall,Real Estate,66
Alabama,Marshall,Amusement,16
Alabama,Marshall,Religious,87
Alabama,Mobile,Real Estate,366
Alabama,Mobile,Amusement,77
Alabama,Mobile,Religious,445
Alabama,Montgomery,Real Estate,218
Alabama,Montgomery,Amusement,38
Alabama,Montgomery,Religious,349
Alabama,Morgan,Real Estate,68
Alabama,Morgan,Amusement,21
Alabama,Morgan,Religious,140
Alabama,Pike,Real Estate,25
Alabama,Pike,Amusement,4
Alabama,Pike,Religious,36
Alabama,Russell,Real Estate,40
Alabama,Russell,Amusement,3
Alabama,Russell,Religious,60
Alabama,St. Clair,Real Estate,39
Alabama,St. Clair,Amusement,13
Alabama,St. Clair,Religious,75
Alabama,Shelby,Real Estate,253
Alabama,Shelby,Amusement,52
Alabama,Shelby,Religious,212
Alabama,Talladega,Real Estate,36
Alabama,Talladega,Amusement,8
Alabama,Talladega,Religious,97
Alabama,Tallapoosa,Real Estate,28
Alabama,Tallapoosa,Amusement,10
Alabama,Tallapoosa,Religious,60
Alabama,Tuscaloosa,Real Estate,186
Alabama,Tuscaloosa,Amusement,35
Alabama,Tuscaloosa,Religious,216
Alabama,Walker,Real Estate,35
Alabama,Walker,Amusement,9
Alabama,Walker,Religious,93
Alabama,Winston,Real Estate,9
Alabama,Winston,Amusement,5
Alabama,Winston,Religious,23
Alaska,Anchorage Municipality,Real Estate,397
Alaska,Anchorage Municipality,Amusement,120
Alaska,Anchorage Municipality,Religious,391
Alaska,Bethel Census Area,Real Estate,7
Alaska,Bethel Census Area,Amusement,7
Alaska,Bethel Census Area,Religious,7
Alaska,Fairbanks North Star Borough,Real Estate,151
Alaska,Fairbanks North Star Borough,Amusement,50
Alaska,Fairbanks North Star Borough,Religious,100
Alaska,Haines Borough,Real Estate,4
Alaska,Haines Borough,Amusement,11
Alaska,Haines Borough,Religious,7
Alaska,Juneau City and Borough,Real Estate,47
Alaska,Juneau City and Borough,Amusement,22
Alaska,Juneau City and Borough,Religious,56
Alaska,Kenai Peninsula Borough,Real Estate,79
Alaska,Kenai Peninsula Borough,Amusement,64
Alaska,Kenai Peninsula Borough,Religious,100
Alaska,Ketchikan Gateway Borough,Real Estate,27
Alaska,Ketchikan Gateway Borough,Amusement,17
Alaska,Ketchikan Gateway Borough,Religious,24
Alaska,Kodiak Island Borough,Real Estate,9
